,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
1468,08/02/2021,37077,31,Granville County,NC,43.9,26534,26506,50.3,25519,53.1,7527,70.5,96.3,30229.0,50.0,30181.0,57.3,28818.0,60.0,8090.0,75.8,Mod-High,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
1469,08/02/2021,17099,31,LaSalle County,IL,40.9,44420,44354,47.2,42295,49.4,14967,71.2,97.7,58940.0,54.2,58809.0,62.6,55642.0,65.0,19278.0,91.7,Low-Mod,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI
1470,08/02/2021,13277,31,Tift County,GA,14.0,5677,5677,16.7,5442,17.8,2194,35.1,54.1,6730.0,16.6,6727.0,19.8,6259.0,20.5,2372.0,37.9,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
1471,08/02/2021,19141,31,O'Brien County,IA,42.1,5791,5791,49.9,5660,54.1,2351,82.8,97.4,6072.0,44.2,6072.0,52.3,5909.0,56.5,2432.0,85.6,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
1472,08/02/2021,54059,31,Mingo County,WV,21.4,5014,5013,25.2,4927,27.1,2014,43.5,57.7,6084.0,26.0,6083.0,30.5,5967.0,32.8,2271.0,49.0,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
1473,08/02/2021,04003,31,Cochise County,AZ,47.3,59597,59595,55.1,57135,57.7,20299,69.7,97.5,68541.0,54.4,68537.0,63.4,65236.0,65.9,22884.0,78.6,High,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI,Mod-High VC/High SVI
1474,08/02/2021,06037,31,Los Angeles County,CA,53.8,5402665,5391099,62.5,5068470,64.2,1044755,73.9,97.3,6258207.0,62.3,6240243.0,72.4,5842404.0,74.0,1213365.0,85.8,High,High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
1475,08/02/2021,13117,31,Forsyth County,GA,17.7,43153,43149,21.2,38560,21.6,7696,25.5,54.1,45088.0,18.5,45075.0,22.1,39291.0,22.0,8777.0,29.1,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI
1476,08/02/2021,30081,31,Ravalli County,MT,39.7,17370,17368,44.9,16927,47.6,8153,70.1,95.5,18771.0,42.9,18768.0,48.5,18176.0,51.1,8580.0,73.8,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
1477,08/02/2021,31007,31,Banner County,NE,20.0,149,149,24.3,147,26.1,57,31.8,88.7,,0.0,,0.0,,0.0,,0.0,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI
